,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
2382,"HOLLAR, JAMES",NA,NA,NA,NA,NA
2383,"HOMANN, PETER",NA,NA,NA,NA,NA
2384,"HOOKS, GREGORY",NA,NA,NA,NA,NA
2385,"HOOPER, DAVID",NA,NA,NA,NA,NA
2386,"HOPE, KEELY",NA,NA,NA,NA,NA
2387,"HORNE, CHRISTINE",NA,NA,NA,NA,NA
2388,"HORNE, CYNTHIA",NA,NA,NA,NA,NA
2389,"HOSSAIN, MD",NA,NA,NA,NA,NA
2390,"HOSSAIN, N",NA,NA,NA,NA,NA
2391,"HOUNDONOUGBO, YAO",NA,NA,NA,NA,NA
2392,"HOUSEN, BERNARD",1629,24,14,31,21
2393,"HOWARD, BRADLEY",NA,NA,NA,NA,NA
2394,"HOWARD-SNYDER, DANIEL",941,17,14,23,16
2395,"HOWARD-SNYDER, FRANCES",NA,NA,NA,NA,NA
2396,"HSUEH, VICKI",NA,NA,NA,NA,NA
2397,"HSUEH, VICKI",NA,NA,NA,NA,NA
2398,"HUA, STELLA",NA,NA,NA,NA,NA
2399,"HUA, YAN",NA,NA,NA,NA,NA
2400,"HUBBARD, BRENDA",NA,NA,NA,NA,NA
2401,"HUBERT, MICHAEL",NA,NA,NA,NA,NA
2402,"HUCKABAY, JAMES",NA,NA,NA,NA,NA
2403,"HUDELSON, JOHN",NA,NA,NA,NA,NA
2404,"HUDSON, HUD",NA,NA,NA,NA,NA
2405,"HUDSON, HUD",NA,NA,NA,NA,NA
2406,"HUERTA, AUDREY",713,14,12,18,15
2407,"HUGHES, CRAIG",21,2,2,1,0
2408,"HUGHES, EILEEN",NA,NA,NA,NA,NA
2409,"HUGHES, EILEEN",NA,NA,NA,NA,NA
2410,"HUGHS, NATALIE",NA,NA,NA,NA,NA
2411,"HUNT, VANESSA",NA,NA,NA,NA,NA
2412,"HUNTER, JOSEPH",NA,NA,NA,NA,NA
2413,"HUNTER, JOSEPH",NA,NA,NA,NA,NA
2414,"HURAND, FRED",NA,NA,NA,NA,NA
2415,"HUSSMAN, STEPHEN",NA,NA,NA,NA,NA
2416,"HUTCHINSON, BRIAN",346,10,9,10,9
2417,"HUTCHINSON, PENNY",NA,NA,NA,NA,NA
2418,"HUTTON, MARGUERITE",NA,NA,NA,NA,NA
2419,"HYATT, KEITH",NA,NA,NA,NA,NA
2420,"HYATT, KEITH",NA,NA,NA,NA,NA
2421,"HYMAN, IRA",4173,23,18,33,25
2422,"IMAMURA, KOSUKE",NA,NA,NA,NA,NA
2423,"INVERARITY, JAMES",NA,NA,NA,NA,NA
2424,"IRWIN, JASON",NA,NA,NA,NA,NA
2425,"IYENGAR, DEEPAK",NA,NA,NA,NA,NA
2426,"IYENGAR, DEEPAK",NA,NA,NA,NA,NA
2427,"IZON, GERMAN",NA,NA,NA,NA,NA
2428,"IZUMI, SHIGEKO",NA,NA,NA,NA,NA
2429,"JACK, DANA",NA,NA,NA,NA,NA
2430,"JACKSON, HENRY",NA,NA,NA,NA,NA
